key,en,ar,cs,de,es,fi,fr,it,ja,ko,nb,nl,pl,pt,ru,tr,zh
progress.downloading_mb,downloading {$1} MB,,Stahování {$1} MB,Herunterladen mit {$1} MB,Descargando {$1} MB,Ladataan {$1} Mt,Téléchargement de {$1} MB,Scaricando {$1} MB,{$1}MBをダウンロード中,{$1} MB 다운로드 중,,Downloaden van {$1} MB.,Pobieranie {$1} MB,A transferir {$1} MB,Загружено {$1} МБ,{$1} MB indiriliyor,
progress.installing_mods,Installing mods,,Instalování mody,Installiere Mods,Instalando mods,Asennetaan modeja,Installation de mods,Installando delle mod,Modをインストール,모드 설치,,Mods installeren,Instalowanie modów,Instalando mods,Устанавливаем моды,Modlar Yükleniyor,
progress.installing_mods_count,Installing {$1} mods,,Instalování {$1} mody,Installiere {$1} Mods,Instalando {$1} mods,Asennetaan {$1} modia,Installation de {$1} mods,Installando {$1} mod,{$1}個のModをインストール,{$1}개의 모드를 설치,,{$1} mods installeren,Instalowanie {$1} modów,Instalando {$1} mods,Устанавливаем {$1} модов,{$1} modları yükleniyor,
progress.processing_xof_y,Processing {$1} of {$2} files...,,,{$1} von {$2} Dateien werden verarbeitet...,Procesando {$1} de {$2} archivos...,Käsitellään {$1}/{$2} tiedostoa...,Traitement de {$1} sur {$2} fichiers,Processando file {$1} di {$2}...,{$2}個中{$1} 個のファイルを処理しています...,{$2}개 중 {$1} 개의 파일 진행중...,,Verwerken van {$1} uit {$2} bestanden...,Procesowanie {$1} z {$2} Plików,A processar {$1} de {$2} ficheiros...,Обработка {$1} из {$2} файлов...,{$1} dosyasından {$2} işleniyor...,
progress.update_rr,Updating Retro Rewind,,Aktualizování Retro Rewind,Retro Rewind wird aktualisiert,Actualizando Retro Rewind,Päivitetään Retro Rewindia,Mise à jour de Retro Rewind en cours...,Aggiornando Retro Rewind,Retro Rewindをアップデート,레트로 리와인드 업데이트 중,,Retro Rewind updaten,Aktualizowanie Retro Rewind,Atualizar Retro Rewind,Обновляем Retro Rewind,Retro Rewind Güncelleniyor,
progress.latest_wh_wz_github,Getting the latest Wheel Wizard from github releases,,,Beziehe die neueste Wheel Wizard-Version vom Github,Obteniendo la ultima versión de Wheel Wizard desde Github,Hankitaan uusinta Wheel Wizard -versiota GitHubista,Obtenez la dernière version de Wheel Wizard depuis Github,Ottenendo l'ultima versione di Wheel Wizard da GitHub,githubから最新のWheel Wizardを入手,최신 휠 위저드를 Github에서 받기,,Ophalen van de nieuwste Wheel Wizard van GitHub-releases.,,Obtendo a ultima versão do Wheel Wizard pelo github,Получаем последнюю версию Wheel Wizard из GitHub,Github sürümlerinden en son Wheel Wizard alınıyor,
progress.update_wh_wz,Updating Wheel Wizard,,Aktualizování Wheel Wizard,Wheel Wizard wird aktualisiert,Actualizando Wheel Wizard,Päivitetään Wheel Wizardia,Mise à jour de Wheel Wizard en cours...,Aggiornando Wheel Wizard,Wheel Wizardをアップデート,휠 위저드를 업데이트 중,,Wheel Wizard updaten,Aktualizowanie Wheel Wizard,Atualizar Wheel Wizard,Обновляем Wheel Wizard,Wheel Wizard güncelleniyor,
progress.installing_rr,Installing Retro Rewind,,Instalování Retro Rewind,Installiere Retro Rewind,Instalando Retro Rewind,Asennetaan Retro Rewindia,Installation de Retro Rewind,Installazione di Retro Rewind,Retro Rewindをインストール,레트로 리와인드 설치,,Retro Rewind installeren,Instalowanie Retro Rewind,Instalando Retro Rewind,Устанавливаем Retro Rewind,Retro Rewind Yükleniyor,
progress.installing_rr_first_time,Installing Retro Rewind for the first time,,Instalování Retro Rewind poprvé,Installiere Retro Rewind zum ersten Mal,Instalando Retro Rewind por primera vez,Asennetaan Retro Rewindia ensimmäistä kertaa,Installation de Retro Rewind pour la première fois,Installazione di Retro Rewind per la prima volta,Retro Rewindをインストール (初回),레트로 리와인드를 처음으로 설치,,Retro Rewind voor de eerste keer installeren.,Instalowanie Retro Rewind pierwszy raz,Instalando Retro Rewind pela primeira vez,Устанавливаем Retro Rewind в первый раз,Retro Rewind ilk kez yükleniyor,
progress.installing_dolphin,Installing Dolphin Emulator,,Instalování Dolphin Emulator,Installiere Dolphin Emulator,,Asennetaan Dolphin-emulaattoria,Installation de Dolphin Emulator,Installando l'emulatore Dolphin,Dolphinエミュレーターをインストール,돌핀 에뮬레이터를 설치 중,,Dolphin-emulator installeren,Instalowanie Emulatora Dolphin,A instalar o Dolphin Emulator,Установка эмулятора Dolphin,Dolphin Emulator yükleniyor,
progress.updating_dolphin,Updating Dolphin Emulator,,,,,,,,,,,,,,,,
progress.this_may_take_a_while,This may take a while depending on your internet connection.,,,Dies könnte eine Weile dauern je nach dem wie schnell dein Internet ist.,,Tässä voi kestää jonkin aikaa riippuen internet-yhteydestäsi.,Cela peut prendre plus de temps en fonction de votre connexion internet.,Ciò potrebbe richiedere un po' di tempo a seconda della tua connessione ad internet.,インターネットの状況によっては時間がかかる場合があります,인터넷 상태에 따라 시간이 걸릴 수 있습니다,,Dit kan mogelijk lang duren afhankelijk van jouw internetverbinding.,Może to zająć chwile zależnie od twojego połączenia z internetem.,"Isto pode demorar um pouco, dependendo na sua conexão de internet.",,"Bu, internetinize bağlı biraz uzun sürebilir.",
progress.applying_converted_mod,Applying converted mod,,,,,Sovelletaan muunnettu modi,,,,,,,Zastosowywanie skonwertowanych modów,A aplicar o mod convertido,,,
progress.combining_files,Combining files,,,,,Yhdistetään tiedostoja,,,,,,,Łączenie plików,Combinando ficheiros,,,
progress.converting_file,Converting {$1},,,,,Muunnetaan {$1},,,,,,,Konwertowanie {$1},A converter {$1},,,
progress.converting_files_count,Converting {$1} file(s),,,,,Muunnetaan {$1} tiedostoa,,,,,,,Konwertowanie {$1} Pliku(ów),A converter {$1} ficheiro(s),,,
progress.converting_mod_to_patches,Converting mod to patches,,,,,Muunnetaan modi paikkauksiksi,,,,,,,Konwertowanie modów na poprawki,A converter o mod para patches,,,
progress.downloading_mod,Downloading {$1},,,,,Ladataan {$1},,,,,,,Pobieranie {$1},A descarregar {$1},,,
progress.installing_mod,Installing Mod,,,,,Asennetaan modia,,,,,,,Instalowanie Moda,A instalar o mod,,,
progress.preparing_files_count,Preparing {$1} file(s),,,,,Valmistellaan {$1} tiedostoa,,,,,,,Przygotowywanie {$1} Pliku(ów),A preparar {$1} ficheiro(s),,,
progress.installing_recomp,Installing WiiCompiled,,,,,,,,,,,,,,,,
progress.updating_recomp,Updating WiiCompiled,,,,,,,,,,,,,,,,
progress.recomp_checking_release,Looking for the latest WiiCompiled release,,,,,,,,,,,,,,,,
progress.recomp_downloading_setup,Downloading the WiiCompiled installer,,,,,,,,,,,,,,,,
progress.recomp_running_setup,Running the WiiCompiled installer,,,,,,,,,,,,,,,,
progress.recomp_finished,WiiCompiled is ready to play,,,,,,,,,,,,,,,,
progress.recomp_copying_nand,Copying your Dolphin data,,,,,,,,,,,,,,,,
question.recomp_uninstall.title,Uninstall WiiCompiled?,,,,,,,,,,,,,,,,
question.recomp_uninstall.extra_shared,"This removes the WiiCompiled installation. Your saves stay in Dolphin's Wii folder, and Retro Rewind stays installed.",,,,,,,,,,,,,,,,
question.recomp_uninstall.extra_private,"This removes the WiiCompiled installation, including its private Wii save data. Retro Rewind stays installed.",,,,,,,,,,,,,,,,
question.recomp_uninstall.extra_copy,"This removes the WiiCompiled installation, including its copy of your Dolphin data. Your original Dolphin data is untouched, and Retro Rewind stays installed.",,,,,,,,,,,,,,,,
question.recomp_use_dolphin_nand.title,Use your Dolphin save data?,,,,,,,,,,,,,,,,
question.recomp_use_dolphin_nand.extra,"WiiCompiled can play with the saves, Miis and friend codes you already use in Dolphin. If not, it starts fresh with its own Wii data.",,,,,,,,,,,,,,,,
question.recomp_nand_mode.title,"Copy your Dolphin data, or use it directly?",,,,,,,,,,,,,,,,
question.recomp_nand_mode.extra,"Dolphin recommends against other programs using its Wii data (NAND) directly, since two programs writing to it at once can corrupt it. A copy keeps WiiCompiled completely separate, but progress made in one will not appear in the other.",,,,,,,,,,,,,,,,
question.launch_clear_mods_found.title,Mods found,,Nalezené mody,Mods gefunden,Se encontraron mods,Modeja löytyi,Mods trouvés,Mod trovate,Modが見つかりました,모드를 찾았습니다,,Mods gevonden,Znaleziono Mody,Mods não encontrados,Моды найдены,Modlar bulundu,
question.launch_clear_mods_found.extra,You are about to launch the game without any mods. Do you want to clear your my-stuff folder?,,Chystáš se spustit hru bez jakýchkoliv modů. Chceš vymazat složku my-stuff?,"Du bist dabei, das Spiel ohne Mods zu starten. Möchtest du deinen My Stuff ordner leeren?",Estas a punto de lanzar el juego sin ningún mod. ¿Quieres vaciar tu carpeta My-Stuff?,"Aiot käynnistää pelin ilman modeja.
Haluatko tyhjentää 'my-stuff'-kansiosi?","Vous êtes sur le point de lancer le jeu sans aucun mods.
Voulez vous supprimer votre dossier My-Stuff ? ","Stai per avviare il gioco senza alcuna mod.
Vuoi svuotare la tua cartella My-Stuff?","Modなしでゲームを起動しようとしています。
My Stuffフォルダーをクリアしますか？",아무런 모드를 적용하지 않은체 게임을 실행시키려 시도하고 있습니다. My Stuff 폴더를 비우시겠습니까?,,Je staat op het punt om het spel te starten zonder mods. Wil je de My Stuff-map leegmaken?,Zaraz uruchomisz grę bez żadnych modów. Czy chcesz wyczyścić twój my-stuff folder?,Tu estás prestes a abrir o jogo sem nenhum mod. Queres limpar a pasta my-stuff?,Прямо сейчас вы запускаете игру без модов. Желаете очистить папку my-stuff?,Mod olmadan oyunu başlatmak üzeresiniz. My-stuff klasörünüzü temizlemek ister misiniz?,
question.sure_delete.title,Are you sure you want to delete {$1}?,,Opravdu chceš smazat {$1}?,"Bist du sicher, dass du {$1} löschen möchtest?",¿Estas seguro que deseas borrar {$1}?,Haluatko varmasti poistaa '{$1}'?,Êtes-vous sûr de vouloir supprimer {$1} ?,Sei sicuro di voler cancellare {$1}?,{$1}を削除してもよろしいですか？,{$1}을/를 지우시겠습니까?,,Weet je zeker dat je {$1} wil verwijderen?,"Jesteś pewien, że chcesz usunąć {$1}?",Tens a certeza que desejas apagar {$1}?,Вы уверены что хотите удалить {$1}?,{$1}'i silmek istediğinizden emin misiniz?,
question.sure_delete.extra,Deleting is permanent and cannot be undone.,,Smazání je trvalé a není možné je vrátit zpět.,Löschen ist permanent und kann nicht rückgängig gemacht werden,Borrar es permanente y no se puede revertir.,Poistaminen on pysyvää eikä sitä voi perua.,La suppresion est permanente et ne peut pas être inversée.,L'eliminazione è permanente e non può essere recuperata.,削除は永久的であり、元に戻すことはできません,"삭제는 영구적이며, 되돌릴 수 없습니다",,Verwijderen is permanent en kan niet ongedaan worden gemaakt.,Usuwanie jest nie odwracalne.,A eliminação é permanente e não pode ser revertida.,Удаление является необратимым и не может быть отменено.,Silmek kalıcıdır ve geri alınamaz.,
question.sure_delete.title_miis,Are you sure you want to delete {$1} Miis?,,Opravdu chceš smazat {$1} Miiy?,"Bist du sicher, dass du {$1} Miis löschen möchtest?",¿Estas seguro que deseas borrar {$1} Miis?,Haluatko varmasti poistaa {$1} Miitä?,Êtes-vous sûr de vouloir supprimer {$1} Miis ?,Sei sicuro di voler cancellare {$1} Mii?,{$1}Miiを削除してもよろしいですか？,{$1}Mii를 삭제하시겠습니까?,,Weet je zeker dat je {$1} Mii's wil verwijderen?,"Jesteś pewien, że chcesz usunąć {$1} Mii?",Tem a certeza de que deseja apagar {$1} Miis?,"Вы уверены, что хотите удалить {$1} Mii?",{$1} tane Mii'yi silmek istediğinize emin misiniz?,
question.apply_scale.title,Do you want to apply the new scale?,,,Möchtest du die neue Skala anwenden?,¿Desea aplicar la nueva escala?,Haluatko ottaa uuden skaalan käyttöön?,Voulez-vous appliquez la nouvelle échelle ?,Vuoi applicare le nuove dimensioni?,新しいウィンドウサイズを適用しますか？,새로운 해상도를 적용하시겠습니까?,,Wil je de nieuwe schaal toepassen?,Czy chcesz zastosować nową skalę?,Gostarias de aplicar a nova escala?,Хотите применить новый масштаб?,Yeni ölçeği uygulamak istiyor musunuz?,
question.apply_scale.extra,This change will revert in {$1} unless you decide to keep the change.,,,"Diese Änderung wird in {$1} zurückgesetzt, außer du wendest die Änderung an.",Este cambio se revertira en {$1} a menos de que decidas de quedarte con este cambio.,"Muutos perutaan {$1} kuluttua, ellet aio pitää muutosta.",Cette modification va être rétablie dans {$1} sauf si vous choisissez de garder cette modification.,Questa modifica si ripristinerà in {$1} a meno che tu decida di mantenerla.,変更の保存を選択しないと、この変更は{$1}で変更前に戻ります,변경 사항 저장을 선택하지 않으면 변경 전인 {$1}로 돌아갑니다,,"Deze wijziging wordt over {$1} teruggedraaid, tenzij je ervoor kiest om de wijziging te behouden.","Ta zmiana zostanie cofnięta za {$1} może, że postanowisz ją zastosować.",Esta alteração será revertida em {$1} a menos que decida manter a alteração.,,Bu değişiklik onaylamadığınız takdirde {$1} içinde eski haline dönecek.,
question.move_data.title,Move Wheel Wizard data?,,,Wheel Wizard Daten verschieben?,,Siirretäänkö Wheel Wizardin tiedot?,,,,,,,Przenieść dane z Wheel Wizard?,Mover a data do Wheel Wizard?,,,
question.move_data.extra,Wheel Wizard will move its files to:\n{$1}\nThis may take a while depending on the amount of data.,,,Wheel Wizard wird seine Datein nach\n{$1}\nverschieben. Das könnte eine Weile dauern.,,Wheel Wizardin tiedostot siirretään sijaintiin:\n{$1}\nTässä saattaa mennä hetki riippuen tietojen määrästä.,,,,,,,Wheel Wizard przeniesie swoje pliki do:\n{$1}\n to może zająć chwile zależnie od ilości danych.,"O Wheel Wizard vai mover os seus ficheiros para :\n{$1}\nPode demorar bastante tempo, dependendo da quantidade de dados.",,,
question.dolphin_found.title,Dolphin Emulator Folder Found,,Nalezena Složka Dolphin Emulator,Dolphin Emulator Ordner gefunden,Carpeta del Emulador Dolphin encontrado,Dolphin-emulaattorin kansio löytyi,Dossier Dolphin Emulator trouvé,Cartella dell'Emulatore Dolphin trovata,Dolphinエミュレーターのフォルダーが見つかりました,돌핀 에뮬레이터 폴더를 찾았습니다,,Dolphin-emulator-map gevonden,Znaleziono folder Emulatora Dolphin,Pasta Do Dolphin Emulator Encontrada,Папка эмулятора Dolphin найдена,Dolphin Emulator Klasörü Bulundu,
question.dolphin_found.extra,"If you dont know what all of this means, just click yes :) \nDolphin Emulator folder found. Would you like to use this folder?",,,"Wenn du nicht weißt, was das alles bedeutet, klick einfach auf „Ja“ :) \nDolphin Emulator-Ordner gefunden. Möchtest du diesen Ordner verwenden?","Ante la duda, solo marque si\n. Carpeta del emulador Dolphin encontrado. ¿Desea usar esta carpeta?","Jos et tiedä, mitä kaikki tarkoittaa, paina vain 'Kyllä' :)\nDolphin-emulaattorin kansio löytyi. Haluatko käyttää tätä kansiota?","Si vous ne savez pas ce que tous cela veut dire, juste cliquez sur oui :) \nDossier Dolphin Emulator trouvé. Voulez-vous utilser ce dossier ? ","Se non sai cosa ciò vuol dire, clicca su sì :) \nCartella dell'Emulatore Dolphin trovata. Vuoi usare questa cartella?",意味がよく分からなければ、「はい」をクリックしてください。\nDolphinエミュレーターのフォルダーが見つかりました。このフォルダーを使用しますか？,"돌핀 에뮬레이터 폴더를 찾았습니다. 해당 폴더를 사용하시겠습니까? \n뭔 소린지 모르겠다면 그냥 ""네""를 누르세요 ^_^",,"Als je niet weet wat dit allemaal betekent, druk op ja :) \nDolphin-emulator-map gevonden. Wil je deze gebruiken?",Jeżeli nie wiesz co to wszystko znaczy poprostu naciśnij tak :) \nZnaleziono folder Emulatora Dolphin. Chciałbyś użyć ten folder?,"Se não sabes o que isto significa, clica só que sim :) \nPasta do Dolphin Emulator encontrada. Gostarias de usar esta pasta?","Если ты понятия не имеешь что это значит, просто нажми да :D \nПапка эмулятора Dolphin найдена. Хотите её использовать?","Eğer bunların ne anlama geldiğini bilmiyorsanız, evet diyebilirsiniz :) \nDolphin Emulator klasörü bulundu. Bu klasörü kullanmak ister misiniz?",
question.dolphin_outdated.title,Your Dolphin Emulator is out of date,,,,,,,,,,,,,,,,
question.dolphin_outdated.extra,"This version of Dolphin ({$1}) has a known security issue where malicious game files, mods, or cheating online players can infect your PC with malware.

Update to {$2} or newer to be safe.",,,,,,,,,,,,,,,,
question.dolphin_program_found.title,Dolphin Emulator Found,,,Dolphin Emulator gefunden,,,,,,,,,,,,,
question.dolphin_program_found.extra,"If you don't know what all of this means, just click yes :)

Dolphin Emulator found. Would you like to use this?",,,"Wenn du nicht weißt, was das alles bedeutet, klick einfach auf „Ja“ :)

Dolphin Emulator gefunden. Möchtest du Folgendes verwenden?",,,,,,,,,,,,,
question.new_version_wh_wz.title,Wheel Wizard Update Available,,,Wheel Wizard Update verfügbar,Actualización de Wheel Wizard disponible,Wheel Wizard -päivitys saatavilla,Mise à jour Wheel Wizard disponible !,Aggiornamento di Wheel Wizard disponibile,Wheel Wizardのアップデートがあります,휠 위저드의 새로운 업데이트가 있습니다.,,Wheel Wizard-update beschikbaar,Aktualizacja do Wheel Wizard dostępna,Atualização do Wheel Wizard Disponível,Доступно обновление Wheel Wizard,Wheel Wizard Güncellemesi Mevcut,
question.new_version_wh_wz.extra,Version {$1} of Wheel Wizard is available (currently on {$2}). Do you want to update now?,,,Version {$1} von Wheel Wizard ist verfügbar (derzeit für {$2}). Möchtest du jetzt updaten?,La version {$1} de WheelWizzard está disponible (Actualmente en {$2}). ¿Desea actualizar ahora?,Wheel Wizardin versio {$1} on saatavilla (nykyinen versio: {$2}). Haluatko päivittää heti?,La version {$1} de Wheel Wizard est disponible (Version actuelle: {$2}). Voulez-vous mettre à jour maintenant ?,La versione {$1} di Wheel Wizard è disponibile (al momento è {$2}). Vuoi aggiornare ora?,Wheel Wizardのバージョン{$1} (現在のバージョンは{$2}) が利用できます。すぐにアップデートしますか？,휠 위저드 최신 버전 {$1}이 있습니다.(현재 버전 {$2}). 업데이트 하시겠습니까?,,Versie {$1} van Wheel Wizard is beschikbaar (momenteel op {$2}). Wil je nu updaten?,Wersja {$1} Wheel Wizard jest dostępna (obecnie na {$2}). Chcesz aktualizować teraz?,Versão {$1} do Wheel Wizard está disponível (de momento encontra-se na versão {$2}). Queres atualizar agora?,Версия {$1} Wheel Wizard'а доступна (прямо сейчас. вы на {$2}). Хотите произвести обновление?,Wheel Wizard'ın {$1} sürümü mevcut (şu anda {$2}'de). Şimdi güncellemek ister misiniz?,
question.update_admin.title,Update using admin,,Aktualizovat pomocí admin,Update mit Admin,Actualizando usando administrador,Päivitä järjestelmänvalvojana,Mettre à jour en Administrateur,Aggiorna usando l'Amministratore,管理者権限で更新する,관리자 권한으로 업데이트,,Update met administrator,Aktualizuj używając uprawnień administratora,Atualiza usando administrador,Обновитесь через права администратора.,Yönetici kullanarak güncelle,
question.update_admin.extra,"Sometimes an update requires admin rights, do you want to active them for this update?",,Někdy aktualizace vyžaduje administrátorská práva. Chceš je pro tuto aktualizaci aktivovat?,Manchmal erfordert ein Update Adminrechte. Möchtest du sie für dieses Update aktivieren?,A veces una actualización requiere derechos de administrador. ¿Desea activarlo para esta actualización?,Joskus päivitys vaatii järjestelmänvalvojan oikeuet. Haluatko aktivoida ne tätä päivitystä varten?,"Des fois, une mise à jour demande les droits d'admin. Voulez-vous les activer pour cette mise à jour ? ","A volte un aggiornamento può richiedere diritti di amministratore, vuoi attivarli per questo aggiornamento?",アップデートには管理者権限が必要な場合があります。今回のアップデートで管理者権限を有効にしますか?,"가끔, 업데이트에는 관리자 권한이 필요합니다. 이 업데이트를 위해 활성화 하시겠습니까?",,Soms zijn er voor een update administratorrechten nodig. Wil je deze activeren voor deze update?,Czasami aktualizacja wymaga uprawnień administratora czy chcesz je aktywować dla tej aktualizacji?,Às vezes uma atualização requere direitos de administrador. Desejas usar direitos de administrador para esteja atualização?,"Иногда, для обновления нужны права администратора. Хотите ли вы их активировать ради этого обновления?","Bazen bir güncelleme yönetici hakları gerektirir, bu güncelleme için onları aktif etmek ister misiniz?",
question.reinstall_rr.title,Reinstall Retro Rewind,,Přeinstalovat Retro Rewind,Installiere Retro Rewind neu,Reinstalar Retro Rewind,Asenna Retro Rewind uudelleen,Réinstaller Retro Rewind,Reinstalla Retro Rewind,Retro Rewindの再インストール,레트로 리와인드 재설치,,Retro Rewind herinstalleren,Zainstaluj Retro Rewind ponownie,Reinstalar Retro Rewind,Переустановить Retro Rewind,Retro Rewind'ı yeniden yükle,
question.reinstall_rr.extra,Are you sure you want to reinstall Retro Rewind?,,Opravdu chceš reinstalovat Retro Rewind?,"Bist du dir sicher, dass du Retro Rewind neu installieren möchtest?",¿Estas seguro que quieres reinstalar Retro Rewind?,Haluatko varmasti asentaa Retro Rewindin uudelleen?,Êtes-vous sûr de vouloir réinstaller Retro Rewind ?,Sei veramente sicuro di voler reinstallare Retro Rewind?,Retro Rewindを再インストールしてもよろしいですか？,레트로 리와인드를 재설치하시겠습니까?,,Weet je zeker dat je Retro Rewind opnieuw wilt installeren?,"Jesteś pewien, że chcesz zainstalować Retro Rewind ponownie?",Tem a certeza de que deseja reinstalar o Retro Rewind?,"Вы уверены, что хотите переустановить Retro Rewind?",Retro Rewind'ı tekrar yüklemek istediğinize emin misiniz?,
question.old_rksys_found.title,Old rksys.dat found,,Starý rksys.dat nalezen,Alte rksys.dat gefunden,Antiguo rksys.dat encontrado,Vanha rksys.dat löytyi,Ancien rksys.dat trouvé,Un vecchio rksys.dat è stato trovato,古いrksys.datが見つかりました,오래된 rksys.dat이 발견됨,,Oude rksys.dat gevonden,Znaleziono stary plik rksys.dat,O antigo rksys.dat foi encontrado,Обнаружен старый rksys.dat,Eski rksys.dat bulundu,
question.old_rksys_found.extra,Old save data was found. Would you like to use it? (recommended),,,Alte Speicherdaten wurden gefunden. Möchtest Du sie benutzen? (Empfohlen),Se encontró data guardada antigua. ¿Desea usarla?,Vanhoja tallennustietoja löytyi. Haluatko käyttää sitä? (suositeltu),Une ancienne sauvegarde a été trouvée. Voulez-vous l'utiliser ? (Recommandé),Dei vecchi dati di salvataggio sono stati trovati. Vuoi usarli? (Consigliato),古いセーブデータが見つかりました。このセーブデータを使用しますか？(おすすめ),오래된 세이브 데이터가 발견됐습니다. 사용하시겠습니까?(사용 권장),,Oude spelgegevens zijn gevonden. Wil je deze gebruiken? (aanbevolen),Znaleziono stary zapis. Chciałbyś go użyć? (Zalecane),Foi encontrada uma gravação antiga. Queres usá-lá? (recomendado),Старые данные сохранения были найдена. Желаете их исполльзовать? (рекоммендовано),Eski kayıt verisi bulundu. Kullanmak ister misiniz? (önerilir),
question.rr_to_old.extra,Your version of Retro Rewind is too old to update. Would you like to reinstall Retro Rewind?,,Tvoje verze Retro Rewind je moc stará na aktualizaci. Chtěl bys znovu nainstalovat Retro Rewind?,Deine Version von Retro Rewind ist zu alt zum Aktualisieren. Möchtest du Retro Rewind neu installieren?,Tu versión de Retro Rewind es muy antigua para actualizar. ¿Desea reinstalar Retro Rewind?,Retro Rewind -versiosi on liian vanha päivittämiseen. Haluatko asentaa Retro Rewindin uudelleen?,"Votre version de Retro Rewind est trop vieille pour être mis à jour.
Voulez-vous réinstaller Retro Rewind ? ",La tua versione di Retro Rewind è troppo vecchia per essere aggiornata. Vuoi reinstallare Retro Rewind?,Retro Rewindのバージョンが古すぎるため更新できません。Retro Rewindを再インストールしますか？,설치된 레트로 리와인드가 너무 구버전입니다. 레트로 리와인드를 재설치하시겠습니까?,,Je versie van Retro Rewind is te oud om te updaten. Wil je Retro Rewind opnieuw installeren?,Twoja wersja Retro Rewind jest zbyt stara by ją aktualizować. Chcesz zainstalować Retro Rewind ponownie?,A tua versão do Retro Rewind é demasiado antiga par atualizar. Gostarias de reinstalar o Retro Rewind,Ваша версия Retro Rewind слишком устарела для обновлений. Хотите переустановить Retro Rewind?,Retro Rewind sürümünüz güncellemeye çok eski. Retro Rewind'ı yeniden yüklemek ister misiniz?,
question.rr_to_old.title,The Retro Rewind version is too old.,,Verze Retro Rewind je moc stará.,Retro Rewind-Version ist zu alt.,La version de Retro Rewind es muy antigua.,Retro Rewind -versio on liian vanha.,Votre version de Retro Rewind est trop vieille.,La versione di Retro Rewind è datata.,Retro Rewindのバージョンが古すぎます,레트로 리와인드의 버전이 너무 구버전입니다,,Retro Rewind versie is te oud.,Wersja Retro Rewind jest zbyt stara.,A versão do Retro Rewind é muito antiga.,Версия Retro Rewind слишком стара,Retro Rewind sürümü çok eski.,
question.rr_not_determined.title,Download Retro Rewind,,Stáhnout Retro Rewind,Installiere Retro Rewind,Instalar Retro Rewind,Lataa Retro Rewind,Télécharger Retro Rewind ,Scarica Retro Rewind,Retro Rewindをダウンロードする,레트로 리와인드 다운로드,,Retro Rewind downloaden,,Descarrega o Retro Rewind,Скачать Retro Rewind,Retro Rewind İndir,
question.rr_not_determined.extra,Your version of Retro Rewind could not be determined. Would you like to download Retro Rewind?,,Tvojí verzi Retro Rewind se nepodařilo určit. Chtěl bys si stáhnout Retro Rewind?,Deine Version von Retro Rewind konnte nicht ermittelt werden. Möchtest du Retro Rewind herunterladen?,No se pudo determinar tu versión de Retro Rewind. ¿Desea instalar Retro Rewind?,Retro Rewind -versiotasi ei voitu määrittää. Haluatko ladata Retro Rewindin?,"Votre version de Retro Rewind n'a pas pu être déterminée.
Voulez-vous installer Retro Rewind ? ",La tua versione di Retro Rewind non può essere determinata. Vuoi scaricare Retro Rewind?,Retro Rewindのバージョンを判別できませんでした。Retro Rewindを再インストールしますか？,설치된 레트로 리와인드 버전을 확인 할 수 없습니다. 레트로 리와인드를 다운로드 하시겠습니까?,,Je versie van Retro Rewind kon niet worden bepaald. Wil je Retro Rewind downloaden?,,A tua versão do Retro Rewind não pode ser determinada. Gostarias de instalar o Retro Rewind,Не удалось определить вашу версию Retro Rewind. Хотите установить Retro Rewind?,Retro Rewind sürümünüz belirlenemedi. Retro Rewind'ı indirmek ister misiniz?,
question.dolphin_flatpak.title,Dolphin Flatpak Installation,,Instalace Dolphin Flatpak,Dolphin Flatpak Installation,,Dolphin Flatpakin asennus,Installation de Dolphin Flatpak...,Installazione di Dolphin tramite Flatpak,Dolphin flatpakバージョンのインストール,돌핀 Flatpak을 설치했습니다,,Dolphin-Flatpak installeren,,Instalação do Dolphin Flatpak,,Dolphin Flatpak Yüklemesi,
question.dolphin_flatpak.extra,The Flatpak version of Dolphin Emulator does not appear to be installed. Would you like us to install it (for your own user)?,,,Die Flatpak Dolphin Version scheint nicht installiert zu sein. Möchtest du sie von uns installieren lassen (für deinen eigenen Benutzer)?,,"Dolphin-emulaattorin Flatpak-versio ei näytä olevan asennettuna. Haluatko, että asennamme sen vain omalle käyttäjätilillesi?",La version Flatpak de Dolphin Emulator ne semble pas être installée. Veuillez-vous qu'on vous l'installe ?,La versione Flatpak dell'emulatore Dolphin non sembra essere installata. Vuoi che venga installata per il tuo account?,Dolphinエミュレーターのflatpakバージョンがインストールされていないようです。私たちが（あなたのアカウントのみに）インストールしてもよろしいですか？,돌핀 에뮬레이터의 Flatpak 버전이 설치되지 않은 것 같습니다. 본인 계정에만 설치하시겠습니까?,,De Flatpak-versie van de Dolphin-emulator is niet geïnstalleerd. Installeer dit voor je eigen account?,,A versão Flatpak do Dolphin Emulator parece não estar instalada. Deseja que a instalemos (para a tua conta)?,,Bilgisayarınızda Dolphin Emulator'ın Flatpak sürümü bulunamadı. Yüklememizi ister misiniz? (kendi hesabın için),
